"","Area","Year","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7231","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7194","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7244","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7243","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7178","Emissions.Transport_7231","Emissions.Transport_7194","Emissions.Transport_7244","Emissions.Transport_7243","Emissions.Transport_7178","Emissions.Residential, commercial, institutional and AFF_7231","Emissions.Residential, commercial, institutional and AFF_7194","Emissions.Residential, commercial, institutional and AFF_7244","Emissions.Residential, commercial, institutional and AFF_7243","Emissions.Residential, commercial, institutional and AFF_7178","Emissions.Industrial processes and product use_7231","Emissions.Industrial processes and product use_7194","Emissions.Industrial processes and product use_7244","Emissions.Industrial processes and product use_7243","Emissions.Industrial processes and product use_7178","Emissions.Waste_7231","Emissions.Waste_7194","Emissions.Waste_7244","Emissions.Waste_7243","Emissions.Waste_7178","Emissions.Other sources_7231","Emissions.Other sources_7194","Emissions.Other sources_7244","Emissions.Other sources_7243","Emissions.Other sources_7178","Emissions.Agriculture total_7231","Emissions.Agriculture total_7194","Emissions.Agriculture total_7244","Emissions.Agriculture total_7243","Emissions.Agriculture total_7178","Emissions.Land use sources_7231","Emissions.Land use sources_7194","Emissions.Land use sources_7244","Emissions.Land use sources_7243","Emissions.Land use sources_7178","Emissions.Forest_7231","Emissions.Forest_7194","Emissions.Forest_7244","Emissions.Forest_7243","Emissions.Forest_7178","Emissions.Energy total_7231","Emissions.Energy total_7194","Emissions.Energy total_7244","Emissions.Energy total_7243","Emissions.Energy total_7178","Emissions.Land Use total_7231","Emissions.Land Use total_7194","Emissions.Land Use total_7244","Emissions.Land Use total_7243","Emissions.Land Use total_7178","CO2_7194","CH4_7244","N2O_7243","F_7178"
"4791","Asia","Y2002",7239795.503,6403280.13,798112.3941,38402.9787,0,1293979.615,1288099.512,175.8288,5704.2738,0,1353913.523,1162780,142451.4703,48682.0527,0,1044287.25,898128.7437,1626.6126,39440.7539,105091.1393,612432.604,21825.321,534610.1146,55997.1684,0,142230.0591,42600,2835,96795.0591,0,1952573.134,0,1169256.941,783316.1929,0,1486523.071,1380894.376,89239.752,16388.9427,0,-338986.8213,-338986.8213,0,0,0,9887688.641,8854159.642,940739.6933,92789.3052,0,1147536,1041908,89240,16389,0,10858621.2614,2738308.1134,1084727.4222,105091.1393
"5172","Asia","Y2003",7964430.445,7028097.713,894300.1693,42032.5632,0,1335476.675,1328929.601,188.2638,6358.8102,0,1390409.573,1197632.3,144232.3872,48544.8861,0,1142492.75,982020.0725,1740.4241,40881.028,117851.2249,628402.6296,22475.5731,548782.7594,57144.2971,0,117744.4814,42600,2835,72309.4814,0,1975592.502,0,1179451.268,796141.2337,0,1208709.493,1168582.603,32236.8039,7890.0862,0,-336189.1498,-336189.1498,0,0,0,10690316.69,9554659.614,1038720.82,96936.2595,0,872520,832393,32237,7890,0,11434148.7128,2803767.0757,1071302.3859,117851.2249
"5553","Asia","Y2004",8926563.828,7889835.816,988910.2629,47817.7496,0,1413228.061,1407623.895,179.6653,5424.5009,0,1445608.87,1248795.1,146394.0788,50419.6907,0,1233821.647,1062903.286,1887.5425,41238.2594,127792.559,644189.4554,23031.8959,563325.416,57832.1435,0,131303.2083,42600,2835,85868.2083,0,2033531.177,0,1205873.101,827658.0767,0,1402037.956,1300987.71,82077.9111,18972.3345,0,-333379.1489,-333379.1489,0,0,0,11785400.76,10546254.81,1135484.007,103661.9412,0,1068659,967609,82078,18972,0,12642398.554,2991482.9776,1135230.9636,127792.559
"5934","Asia","Y2005",9612352.77,8491708.507,1068931.757,51712.5064,0,1451878,1445814.199,188.8041,5874.9968,0,1487153.133,1286266.9,150120.6075,50765.6252,0,1324847.146,1145325.484,1972.197,41121.5462,136427.9185,656708.6695,23588.951,574591.3424,58528.3761,0,138361.637,42600,2835,92926.637,0,2081155.37,0,1235720.945,845434.4248,0,1255757.635,1200133.86,45352.7308,10271.044,0,-330556.8959,-330556.8959,0,0,0,12551383.9,11223789.61,1219241.168,108353.1284,0,925201,869577,45353,10271,0,13304881.0051,3079713.3838,1156635.1565,136427.9185
"6315","Asia","Y2006",10389501.69,9194784.188,1138403.531,56313.9749,0,1509577.973,1503208.48,197.2744,6172.219,0,1511868.895,1310090.8,150133.2657,51644.829,0,1448202.393,1254919.204,2063.0801,41192.3669,150027.7427,671677.8637,23930.912,588540.5914,59206.3602,0,177618.318,42600,2835,132183.318,0,2135713.276,0,1263658.259,872055.0169,0,1510733.715,1376178.177,112579.4791,21976.0593,0,-282919.1846,-282919.1846,0,0,0,13410948.56,12008083.47,1288734.071,114131.023,0,1227815,1093259,112579,21976,0,14422792.5764,3258410.4807,1240744.1442,150027.7427
"6696","Asia","Y2007",11047236.54,9799524.402,1187236.494,60475.6473,0,1586283.146,1579422.68,211.8335,6648.6329,0,1548521.93,1345334.4,151154.1133,52033.4169,0,1558781.412,1351779.404,2259.5377,40898.5226,163843.9475,687004.2005,24381.203,602721.0856,59901.9119,0,127362.8644,42600,2835,81927.8644,0,2174277.596,0,1284506.193,889771.4031,0,1080147.386,1039616.454,29659.0036,10871.9282,0,-278087.6438,-278087.6438,0,0,0,14182041.62,12724281.48,1338602.441,119157.6971,0,802060,761529,29659,10872,0,14904570.8992,3260583.2607,1202529.3273,163843.9475
"7077","Asia","Y2008",11930716.4,10588656.24,1276810.935,65249.2285,0,1459571.247,1454321.95,204.7814,5044.5159,0,1610927.472,1400033.2,160475.5277,50418.7442,0,1603881.853,1389784.887,2479.7566,35413.0439,176204.1659,699668.6964,24731.285,614339.7623,60597.6491,0,126477.3788,42600,2835,81042.3788,0,2203385.468,0,1302018.847,901366.621,0,1044654.853,1026037.505,13757.1348,4860.2132,0,-273150.3692,-273150.3692,0,0,0,15001215.12,13443011.39,1437491.244,120712.4885,0,771504,752887,13757,4860,0,15653014.6978,3372921.7448,1203992.3946,176204.1659
"7458","Asia","Y2009",12353418.71,10961619.24,1324017.388,67782.0849,0,1510866.026,1505391.15,216.5665,5258.3098,0,1614535.984,1401360.5,162292.63,50882.8541,0,1751315.986,1534762.925,2649.3855,32595.1872,181308.4889,714395.6327,25179.194,628010.9744,61205.4643,0,146390.2589,42600,2835,100955.2589,0,2235290.577,0,1309794.671,925495.9069,0,1341521.641,1243049.04,81364.1928,17108.4077,0,-268099.9109,-268099.9109,0,0,0,15478820.72,13868370.89,1486526.585,123923.2488,0,1073422,974949,81364,17108,0,16445862.1381,3511180.8082,1261283.4738,181308.4889
"7839","Asia","Y2010",13057101.53,11581811.21,1403488.227,71802.0954,0,1594642.038,1588758.351,230.194,5653.493,0,1668527.564,1451761.2,165186.1132,51580.2512,0,1911201.849,1681933.453,2819.0147,31880.7177,194568.6638,726914.3971,25526.163,639497.2369,61890.9972,0,141921.6547,42600,2835,96486.6547,0,2258576.814,0,1324998.24,933578.5739,0,1039307.322,1005426.734,24093.1245,9787.4632,0,-262927.5142,-262927.5142,0,0,0,16320271.13,14622330.76,1568904.534,129035.8396,0,776380,742499,24093,9787,0,17114889.5968,3563147.1503,1262660.2463,194568.6638
"111","Central America","Y1990",204842.6258,174996.9478,28264.9954,1580.6827,0,94888.1021,94732.0293,9.1869,146.8859,0,34993.1819,30453.0567,3299.8016,1240.3236,0,28655.475,23957.3727,29.6224,3708.7619,959.718,20713.4905,0,19063.7406,1649.7499,0,3704.3097,0,NA,3704.3097,0,107142.0368,0,62999.7798,44142.2569,0,136429.3146,132701.7097,2566.6478,1160.9571,0,-10008.8833,-10008.8833,0,0,0,334723.9098,300182.0338,31573.9838,2967.8922,0,126420,122693,2567,1161,0,446832.2329,116233.7745,57333.9277,959.718
"492","Central America","Y1991",199043.5961,178668.2086,18752.1763,1623.2111,0,101827.9814,101669.327,9.8694,148.7851,0,36171.5035,31551.8625,3332.0731,1287.568,0,29010.7651,24359.8431,28.4924,3644.6401,977.7896,21245.5902,0,19527.1276,1718.4626,0,4050.5127,0,NA,4050.5127,0,104041.5222,0,61468.6318,42572.8905,0,136474.1022,132746.4973,2566.6478,1160.9571,0,-10053.6709,-10053.6709,0,0,0,337043.081,311889.3981,22094.1188,3059.5642,0,126420,122693,2567,1161,0,458942.0676,105685.0184,56207.0272,977.7896
"873","Central America","Y1992",199254.0146,179294.9137,18359.3438,1599.7571,0,104730.2399,104569.5845,10.1661,150.4893,0,38576.1163,33854.2972,3404.0757,1317.7433,0,28804.0771,25070.1262,29.3334,2994.2201,710.3973,21669.6286,0,19901.0544,1768.5742,0,4017.0592,0,NA,4017.0592,0,103715.4874,0,60584.0598,43131.4276,0,136519.7585,132792.1536,2566.6478,1160.9571,0,-10099.3272,-10099.3272,0,0,0,342560.3707,317718.7954,21773.5856,3067.9897,0,126420,122693,2567,1161,0,465481.748,104854.681,56140.2279,710.3973
"1254","Central America","Y1993",192119.9684,171820.6881,18693.3115,1605.9688,0,109145.3923,108981.9113,10.4188,153.0622,0,39390.5121,34752.3763,3320.1422,1317.9937,0,29239.607,25068.482,29.0417,3221.5649,920.5184,22038.1072,0,20235.3098,1802.7975,0,4194.614,0,NA,4194.614,0,104672.0144,0,61344.4141,43327.6003,0,136566.3182,132838.7133,2566.6478,1160.9571,0,-10145.8869,-10145.8869,0,0,0,340655.8729,315554.9757,22023.8725,3077.0247,0,126420,122693,2567,1161,0,463316.2841,106199.2859,56784.5585,920.5184
"1635","Central America","Y1994",210136.5231,189233.5816,19228.4192,1674.5222,0,111690.8924,111518.6063,10.6374,161.6487,0,40060.5064,35491.2366,3327.253,1242.0168,0,31567.6423,26991.9907,27.0169,3718.1263,830.5084,22570.4532,0,20713.2053,1857.2479,0,4258.0181,0,NA,4258.0181,0,104404.7707,0,61428.3578,42976.413,0,136613.8181,132886.2132,2566.6478,1160.9571,0,-10193.3868,-10193.3868,0,0,0,361887.9219,336243.4245,22566.3096,3078.1878,0,126420,122693,2567,1161,0,485928.2416,107301.5374,57048.9501,830.5084
"2016","Central America","Y1995",214508.0368,185023.1507,27748.0022,1736.8839,0,109044.2676,108873.3484,9.9454,160.9738,0,40682.1445,36004.536,3353.9256,1323.6828,0,29380.2285,24403.8454,29.2637,4118.6353,828.4841,23030.0686,0,21158.6465,1871.422,0,4184.7566,0,NA,4184.7566,0,101589.6984,0,59504.4517,42085.2467,0,136662.2977,132934.6928,2566.6478,1160.9571,0,-10241.8664,-10241.8664,0,0,0,364234.4489,329901.0352,31111.8732,3221.5404,0,126420,122693,2567,1161,0,476997.7069,114370.8829,56642.5582,828.4841
"2397","Central America","Y1996",224844.3906,193314.6177,29719.8012,1809.9718,0,106338.8559,106166.6479,9.3645,162.8435,0,40356.0313,35612.5492,3412.7362,1330.746,0,30954.3535,24643.0797,37.1427,4671.0187,1603.1124,23719.726,0,21817.5627,1902.1633,0,4118.2023,0,NA,4118.2023,0,101371.8592,0,58439.3334,42932.5257,0,135952.1778,132993.6726,2063.5482,894.957,0,-10291.3679,-10291.3679,0,0,0,371539.2778,335093.8148,33141.9019,3303.5612,0,125661,122702,2064,895,0,482439.1992,115499.4889,57822.4283,1603.1124
"2778","Central America","Y1997",239689.2829,206913.7176,30814.0616,1961.5037,0,108939.2109,108765.0096,9.2263,164.975,0,41031.0583,36178.9902,3462.5927,1389.4753,0,30159.9253,24646.0501,31.7302,3786.3972,1695.7477,24180.1295,0,22228.0015,1952.128,0,4039.9204,0,NA,4039.9204,0,103641.2689,0,60065.9152,43575.3537,0,136144.8218,132865.3905,2282.7692,996.6621,0,-10341.9366,-10341.9366,0,0,0,389659.5521,351857.7174,34285.8806,3515.9541,0,125803,122523,2283,997,0,499027.2214,118894.2967,57866.4154,1695.7477
"3159","Central America","Y1998",262799.2928,230067.5592,30642.197,2089.5367,0,113582.9393,113395.7305,9.2265,177.9823,0,42294.4793,37382.5686,3486.4896,1425.4212,0,29784.4872,24948.4411,32.1074,3247.4308,1556.5079,24746.3388,0,22720.5105,2025.8282,0,7632.5349,0,NA,7632.5349,0,104806.6994,0,60250.5702,44556.1292,0,146581.913,133118.4204,9192.7422,4270.7503,0,-10393.6213,-10393.6213,0,0,0,418676.7115,380845.8582,34137.913,3692.9402,0,136188,122725,9193,4271,0,528519.0985,126333.8434,65425.6136,1556.5079
"3540","Central America","Y1999",256182.6424,224683.3113,29552.3414,1946.9897,0,114047.2124,113860.1725,9.0897,177.9502,0,38224.1606,33265.5647,3509.3796,1449.2163,0,29821.4409,25314.1706,32.2679,2468.3785,2006.6239,25418.2583,0,23337.3881,2080.8703,0,4254.4431,0,NA,4254.4431,0,103717.0393,0,59615.6646,44101.3747,0,139571.1111,133121.9377,4265.7119,2183.4614,0,-10446.4746,-10446.4746,0,0,0,408454.0154,371809.0485,33070.8107,3574.1561,0,129125,122675,4266,2183,0,519798.6822,120321.8432,58662.6842,2006.6239
"3921","Central America","Y2000",254608.0306,224214.4833,28733.1844,1660.3629,0,122926.1151,122669.5,11.534,245.0811,0,41052.1494,36006.6,3555.1856,1490.3638,0,29554.4401,25798.3423,32.3872,1499.8402,2223.8703,25833.272,0,23675.5147,2157.7573,0,5826.451,0,NA,5826.451,0,104797.6588,0,60080.5984,44717.0604,0,140647.8519,133137.9849,5013.1766,2496.6904,0,-10500.5534,-10500.5534,0,0,0,418586.2951,382890.5833,32299.9039,3395.8079,0,130147,122637,5013,2497,0,531326.3571,121101.5809,60093.6071,2223.8703
"4302","Central America","Y2001",259349.5297,223708.8234,33912.6324,1728.0739,0,125241.4599,125001.87,10.5052,229.0847,0,40681.093,35645,3559.0135,1477.0795,0,27938.8219,24495.2217,34.7003,1204.3532,2204.5468,26454.3658,0,24210.5453,2243.8205,0,4410.5812,0,NA,4410.5812,0,105851.4332,0,60656.1545,45195.2786,0,106575.273,105949.3276,446.318,179.6273,0,-7162.6791,-7162.6791,0,0,0,425272.0827,384355.6934,37482.1511,3434.2381,0,99413,98787,446,180,0,507637.5636,122829.8692,56667.8989,2204.5468
"4683","Central America","Y2002",266474.3779,229294.1225,35377.0615,1803.1938,0,127940.2541,127705.64,8.2767,226.3374,0,40778.2208,35728.1,3586.1669,1463.9539,0,28395.4752,25168.2491,35.3206,894.7005,2297.205,26986.6016,0,24703.1264,2283.4753,0,4520.7577,0,NA,4520.7577,0,103905.1584,0,62103.3794,41801.779,0,106517.3416,105681.9726,567.6313,267.7377,0,-7140.4118,-7140.4118,0,0,0,435192.8527,392727.8625,38971.5051,3493.4851,0,99377,98542,568,268,0,516437.6724,126380.9628,53261.9353,2297.205
"5064","Central America","Y2003",264693.6948,228981.8317,33807.2169,1904.6461,0,135872.4808,135629.96,8.9487,233.5722,0,40570.5517,35408.6,3634.7849,1527.1668,0,29336.2673,25846.4054,37.314,1343.986,2108.5618,27528.5724,0,25234.9574,2293.6149,0,5452.6146,0,NA,5452.6146,0,105746.724,0,62620.239,43126.485,0,115558.0232,106625.6425,6272.612,2659.7687,0,-7117.5668,-7117.5668,0,0,0,441136.7273,400020.3917,37450.9505,3665.3851,0,108440,99508,6273,2660,0,525374.8728,131616.0729,58541.8543,2108.5618
"5445","Central America","Y2004",268564.1359,232074.7018,34462.9893,2026.4449,0,141616.0727,141361.07,8.3606,246.6421,0,41367.4901,36152.7,3665.0452,1549.745,0,30776.7322,27054.6628,59.6748,1367.2979,2295.0967,27906.4807,0,25579.2701,2327.2106,0,4299.0336,0,NA,4299.0336,0,105502.9779,0,62215.7853,43287.1926,0,106146.4186,105769.7959,269.5022,107.1205,0,-7094.1143,-7094.1143,0,0,0,451547.6988,409588.4718,38136.3951,3822.8319,0,99052,98676,270,107,0,535318.8162,126260.6275,55210.6872,2295.0967
"5826","Central America","Y2005",286126.3019,247957.252,35962.3467,2206.7033,0,148556.9923,148295.65,8.717,252.6253,0,40417.2967,35045,3758.8608,1613.436,0,32005.1541,28021.7612,81.4513,1363.8838,2538.0579,28208.783,0,25848.4481,2360.3349,0,4767.2641,0,NA,4767.2641,0,108699.445,0,62721.5126,45977.9324,0,113336.0788,106516.38,4793.8385,2025.8602,0,-7070.0221,-7070.0221,0,0,0,475100.591,431297.902,39729.9245,4072.7645,0,106266,99446,4794,2026,0,558766.0211,133175.175,60568.04,2538.0579
"6207","Central America","Y2006",293882.0308,254842.4421,36698.8459,2340.7427,0,158070.618,157792.93,9.1634,268.5247,0,41837.4821,36319,3821.84,1696.6422,0,33800.753,29852.9395,102.3302,1061.6351,2783.8482,28637.4326,0,26243.7368,2393.6958,0,4294.1787,0,NA,4294.1787,0,108075.4071,0,62974.1434,45101.2637,0,107839.4614,105892.4588,1342.7112,604.2914,0,-15189.9871,-15189.9871,0,0,0,493790.1309,448954.3721,40529.8493,4305.9095,0,92649,90702,1343,604,0,569509.7833,131192.7709,57760.9743,2783.8482
"6588","Central America","Y2007",305667.6856,265173.1223,37987.0274,2507.5359,0,167320.8489,167056.06,9.1478,255.6411,0,40653.6686,35034.7,3894.7453,1724.2234,0,35412.2296,31003.2658,123.791,1219.1321,3066.0406,28567.6086,0,26140.6702,2426.9384,0,4503.2877,0,NA,4503.2877,0,109845.3699,0,63811.4685,46033.9014,0,109531.1046,106491.0145,2149.8215,890.2685,0,-15140.1388,-15140.1388,0,0,0,513642.2032,467263.8823,41890.9205,4487.4004,0,94391,91351,2150,890,0,589618.0238,134116.6717,59560.9285,3066.0406
"6969","Central America","Y2008",298416.993,257349.3625,38569.5626,2498.068,0,168697.9423,168444.24,9.2871,244.4152,0,40708.0418,34971.2,3967.8463,1768.9955,0,38704.7048,33860.0153,145.2676,1349.0065,3350.4155,28720.1734,0,26259.9336,2460.2397,0,4609.2776,0,NA,4609.2776,0,109720.663,0,64858.761,44861.902,0,108449.3946,106228.8872,1554.6615,665.8459,0,-15089.2483,-15089.2483,0,0,0,507822.9771,460764.8025,42546.696,4511.4787,0,93360,91140,1555,666,0,585764.4567,135365.3197,58457.7504,3350.4155
"7350","Central America","Y2009",302664.7177,261938.6626,38244.0421,2482.0129,0,165641.0951,165400.13,7.9182,233.0469,0,39427.541,33867.8,3838.6587,1721.0824,0,49097.6358,29810.3706,166.5397,1263.2304,17857.4951,28201.4424,0,25707.902,2493.5404,0,4482.7571,0,NA,4482.7571,0,112026.8229,0,65961.2554,46065.5676,0,108792.558,105748.3288,2142.0098,902.2194,0,-15037.2836,-15037.2836,0,0,0,507733.3537,461206.5926,42090.619,4436.1422,0,93755,90711,2142,902,0,581728.0084,136068.3259,59643.4571,17857.4951
"7731","Central America","Y2010",316841.9468,274899.6628,39394.4847,2547.7993,0,170423.1477,170173.88,8.4474,240.8203,0,41071.8224,34997.3,4252.6436,1821.8788,0,62638.441,29245.1589,187.8119,841.7337,32363.7365,27635.3183,0,25108.4744,2526.8439,0,4502.5742,0,NA,4502.5742,0,113127.2535,0,66475.7848,46651.4688,0,106125.2674,105417.5443,494.1048,213.6182,0,-14984.2114,-14984.2114,0,0,0,528336.917,480070.8428,43655.5758,4610.4984,0,91141,90433,494,214,0,599749.3346,135921.7516,59346.7372,32363.7365
"274","Europe","Y1990",5952077.876,5153159.731,768809.2946,30108.8505,0,1220885.347,1216788.227,261.6954,3835.4254,0,1614030.615,1546058.599,48425.0399,19546.9764,0,729423.3098,505136.0306,1280.7815,140260.0006,82746.4971,320626.8915,5444.8814,294718.9099,20463.1002,0,46258.7871,0,NA,46258.7871,0,988718.1456,0,537190.4494,451527.6962,0,315679.6469,281991.6693,23944.8299,9743.1477,0,-461190.6788,-461190.6788,0,0,0,8786993.839,7916006.556,817496.0299,53491.2522,0,-145511,-179199,23945,9743,0,8247388.4595,1674631.0006,721743.9841,82746.4971
"655","Europe","Y1991",5703143.428,4920421.692,752936.7411,29784.9947,0,1234760.79,1230727.157,255.4298,3778.2027,0,1583877.796,1519475.872,45179.9997,19221.9245,0,694034.1919,464927.3958,1186.4757,135954.6639,91965.6565,317421.5893,5470.6576,291699.1239,20251.8078,0,41210.6891,0,NA,41210.6891,0,949804.6397,0,522495.4138,427309.2259,0,315994.5136,282306.536,23944.8299,9743.1477,0,-461500.1936,-461500.1936,0,0,0,8521782.013,7670624.721,798372.1706,52785.1219,0,-145506,-179194,23945,9743,0,7961829.1168,1637698.0139,687254.6563,91965.6565
"1036","Europe","Y1992",4997698.948,4317841.048,653121.9721,26735.9275,0,1174572.394,1171002.085,234.5743,3335.7345,0,1233229.492,1177818.742,39358.4545,16052.2953,0,629567.4516,412970.4021,1095.8962,133717.8105,81783.3429,301832.9388,5495.8539,277325.6542,19011.4308,0,38448.5615,0,NA,38448.5615,0,810158.3899,0,447532.0843,362626.3057,0,322626.1463,289131.7861,23837.9248,9656.4354,0,-458988.0967,-458988.0967,0,0,0,7405500.834,6666661.876,692715.0009,46123.9573,0,-136362,-169856,23838,9656,0,6915271.8204,1442506.5604,609584.5012,81783.3429
"1417","Europe","Y1993",4750891.375,4109791.31,615387.8963,25712.169,0,1126560.341,1123189.219,210.4477,3160.6743,0,1268727.564,1209696.104,43823.3244,15208.1356,0,573220.8187,365326.3503,971.1824,121408.5481,85514.7379,298731.854,5520.9135,274183.9775,19026.963,0,39316.4071,0,NA,39316.4071,0,776845.8987,0,428391.4628,348454.4359,0,322908.7535,289414.3933,23837.9248,9656.4354,0,-459244.296,-459244.296,0,0,0,7146179.28,6442676.633,659421.6684,44080.9789,0,-136336,-169830,23838,9656,0,6643693.9941,1386806.2159,581943.7684,85514.7379
"1798","Europe","Y1994",4497369.212,3883949.37,588064.4168,25355.425,0,1096668.351,1093763.006,200.5741,2704.771,0,1158127.652,1106572.517,37227.8557,14327.279,0,568647.2044,352462.5606,984.6876,128487.4652,86712.4909,296613.118,5545.1065,271929.4081,19138.6035,0,35930.3905,0,NA,35930.3905,0,750489.2509,0,414909.9731,335579.2777,0,323201.5138,289707.1536,23837.9248,9656.4354,0,-459531.8692,-459531.8692,0,0,0,6752165.215,6084284.893,625492.8466,42387.475,0,-136330,-169825,23838,9656,0,6272467.8445,1337154.8402,571179.6473,86712.4909
"2179","Europe","Y1995",4544813.114,3938932.717,579837.1158,26043.2806,0,1087238.669,1084393.757,188.1449,2656.7671,0,1155162.061,1105192.259,35263.7847,14706.017,0,580316.5631,355470.0673,929.6849,135489.2603,88427.5506,295418.0976,5568.972,270554.5942,19294.5314,0,33141.3757,0,NA,33141.3757,0,721896.2511,0,395976.9344,325919.3168,0,323494.054,289999.6937,23837.9248,9656.4354,0,-459819.2271,-459819.2271,0,0,0,6787213.844,6128518.734,615289.0454,43406.0647,0,-136325,-169820,23838,9656,0,6319738.2389,1306588.1837,566906.9843,88427.5506
"2560","Europe","Y1996",4479406.113,3874447.453,579438.9597,25519.7002,0,1103540.045,1100698.306,176.31,2665.429,0,1202746.708,1153715.159,35444.7905,13586.7582,0,575549.5817,340202.2322,865.0232,139940.4348,94541.8915,293926.8735,5592.4386,268819.6448,19514.79,0,40289.6797,0,NA,40289.6797,0,708567.7309,0,383160.8575,325406.8734,0,340695.8225,301510.1413,28039.4604,11146.2208,0,-460106.3711,-460106.3711,0,0,0,6785692.866,6128860.918,615060.0603,41771.8874,0,-119411,-158596,28039,11146,0,6316059.359,1295945.0461,578069.8861,94541.8915
"2941","Europe","Y1997",4310992.621,3721025.921,564805.7319,25160.9679,0,1108628.569,1105823.568,167.5956,2637.4048,0,1131625.657,1083694.068,34235.2927,13696.2966,0,584209.8999,343638.8204,934.6256,140719.7777,98916.6762,287614.0233,5615.0884,262364.2785,19634.6565,0,32692.7442,0,NA,32692.7442,0,687522.3168,0,367538.9161,319983.4007,0,274192.4812,259131.7732,10694.6053,4366.1026,0,-460393.3028,-460393.3028,0,0,0,6551246.847,5910543.557,599208.6202,41494.6693,0,-186201,-201262,10695,4366,0,6058535.9362,1240741.0457,558891.351,98916.6762
